Date,AP2Y
"2001 MAY",673
"2001 JUN",666
"2001 JUL",654
"2001 AUG",654
"2001 SEP",631
"2001 OCT",619
"2001 NOV",596
"2001 DEC",601
"2002 JAN",610
"2002 FEB",613
"2002 MAR",613
"2002 APR",606
"2002 MAY",610
"2002 JUN",605
"2002 JUL",607
"2002 AUG",603
"2002 SEP",603
"2002 OCT",602
"2002 NOV",597
"2002 DEC",597
"2003 JAN",588
"2003 FEB",586
"2003 MAR",579
"2003 APR",582
"2003 MAY",573
"2003 JUN",569
"2003 JUL",572
"2003 AUG",586
"2003 SEP",598
"2003 OCT",604
"2003 NOV",608
"2003 DEC",610
"2004 JAN",611
"2004 FEB",617
"2004 MAR",624
"2004 APR",630
"2004 MAY",634
"2004 JUN",645
"2004 JUL",647
"2004 AUG",645
"2004 SEP",645
"2004 OCT",648
"2004 NOV",654
"2004 DEC",662
"2005 JAN",652
"2005 FEB",638
"2005 MAR",630
"2005 APR",635
"2005 MAY",635
"2005 JUN",627
"2005 JUL",617
"2005 AUG",614
"2005 SEP",602
"2005 OCT",599
"2005 NOV",602
"2005 DEC",612
"2006 JAN",606
"2006 FEB",592
"2006 MAR",592
"2006 APR",591
"2006 MAY",597
"2006 JUN",601
"2006 JUL",604
"2006 AUG",603
"2006 SEP",610
"2006 OCT",612
"2006 NOV",613
"2006 DEC",617
"2007 JAN",625
"2007 FEB",638
"2007 MAR",641
"2007 APR",644
"2007 MAY",651
"2007 JUN",661
"2007 JUL",671
"2007 AUG",673
"2007 SEP",673
"2007 OCT",678
"2007 NOV",679
"2007 DEC",682
"2008 JAN",688
"2008 FEB",696
"2008 MAR",687
"2008 APR",672
"2008 MAY",650
"2008 JUN",635
"2008 JUL",618
"2008 AUG",607
"2008 SEP",588
"2008 OCT",556
"2008 NOV",520
"2008 DEC",490
"2009 JAN",468
"2009 FEB",457
"2009 MAR",450
"2009 APR",441
"2009 MAY",429
"2009 JUN",429
"2009 JUL",438
"2009 AUG",436
"2009 SEP",434
"2009 OCT",438
"2009 NOV",449
"2009 DEC",454
"2010 JAN",458
"2010 FEB",458
"2010 MAR",462
"2010 APR",474
"2010 MAY",479
"2010 JUN",475
"2010 JUL",457
"2010 AUG",451
"2010 SEP",453
"2010 OCT",471
"2010 NOV",477
"2010 DEC",486
"2011 JAN",482
"2011 FEB",476
"2011 MAR",467
"2011 APR",456
"2011 MAY",456
"2011 JUN",453
"2011 JUL",458
"2011 AUG",460
"2011 SEP",465
"2011 OCT",460
"2011 NOV",461
"2011 DEC",465
"2012 JAN",464
"2012 FEB",460
"2012 MAR",460
"2012 APR",465
"2012 MAY",469
"2012 JUN",475
"2012 JUL",479
"2012 AUG",483
"2012 SEP",487
"2012 OCT",491
"2012 NOV",496
"2012 DEC",494
"2013 JAN",498
"2013 FEB",503
"2013 MAR",512
"2013 APR",520
"2013 MAY",532
"2013 JUN",538
"2013 JUL",537
"2013 AUG",547
"2013 SEP",553
"2013 OCT",571
"2013 NOV",576
"2013 DEC",586
"2014 JAN",600
"2014 FEB",620
"2014 MAR",638
"2014 APR",652
"2014 MAY",658
"2014 JUN",666
"2014 JUL",682
"2014 AUG",685
"2014 SEP",699
"2014 OCT",702
"2014 NOV",710
"2014 DEC",723
"2015 JAN",735
"2015 FEB",744
"2015 MAR",734
"2015 APR",734
"2015 MAY",734
"2015 JUN",741
"2015 JUL",745
"2015 AUG",743
"2015 SEP",744
"2015 OCT",748
"2015 NOV",756
